Datetime,AEP_MW,hour,day_of_week,month,is_weekend,lag_1,lag_24,rolling_6,rolling_24
2024-02-01 00:00:00,15.8,-1.661324772583615,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,-0.23679760504687666,0.8299629890620522,-0.023199259059223203,-1.2961262359856216
2024-02-01 01:00:00,16.34,-1.516861748880692,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,0.19482989916533167,-0.3939787165227228,0.5598517775946615,-1.126556691727877
2024-02-01 02:00:00,18.83,-1.372398725177769,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,0.36251252670100936,-1.6487501879912452,0.4583957602033472,-0.4973275564243516
2024-02-01 03:00:00,16.36,-1.227935701474846,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,1.1357157536710796,-1.038320823493045,0.3659295165049343,-0.17991018638816145
2024-02-01 04:00:00,14.01,-1.0834726777719228,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,0.3687229943875158,-1.0691505893767923,0.5893896054427663,-0.02015045047590924
2024-02-01 05:00:00,13.54,-0.9390096540689998,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,-0.3610069587770086,-1.2972908569165238,0.47765956097384893,0.15852820153121888
2024-02-01 06:00:00,14.62,-0.7945466303660768,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,-0.5069529494099138,-0.7731848368928169,0.3261176615792277,0.29376341657974925
2024-02-01 07:00:00,16.16,-0.6500836066631537,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,-0.17158769433855772,0.7868013168248056,0.3030011006546235,0.18235202179883794
2024-02-01 08:00:00,18.17,-0.5056205829602307,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,0.30661831752245017,-1.4576056395120105,0.21824037726441153,0.7218914808007479
2024-02-01 09:00:00,17.13,-0.36115755925730764,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,0.9307703200163632,0.7035609489386875,0.317127887886325,0.6973669599370231
2024-02-01 10:00:00,14.02,-0.21669453555438456,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,0.6078260003180195,-0.45563824829021754,0.318412141271024,0.7183879778202164
2024-02-01 11:00:00,13.88,-0.07223151185146152,-0.04402254531628115,-1.5811388300841895,-0.6123724356957945,-0.3579017249337554,1.3756498452043824,0.36207675635083314,0.3133830332707279
